publish_id;publish_name;publish_city
1;nunc.;Chep√©n
2;mauris;Soledad de Graciano S√nchez
3;Morbi;Vienna
4;eu;Rivne
5;nibh;Quer√©taro
6;Phasellus;Iguala
7;sagittis;Mariquina
8;ipsum;Narowal
9;ridiculus;Galway
10;pulvinar;R√≠o Bueno
11;faucibus;Jilin
12;lacus.;Simon's Town
13;feugiat;Gongju
14;facilisis;Cork
15;vel;Mj√∂lby
16;Pellentesque;Berdiansk
17;Proin;J√∂nk√∂ping
18;est;Retiro
19;consectetuer;Emalahleni
20;non,;Nicoya
21;eget,;Antalya
22;lacinia;Mykolaiv
23;consectetuer;Iquitos
24;Mauris;Westport
25;eleifend;Siquirres
26;libero.;Annapolis Royal
27;mauris;Guangdong
28;orci,;Tenby
29;vel,;Mokpo
30;morbi;Vezirk√∂pr√º
31;vulputate,;Kharmang
32;justo;Darwin
33;Pellentesque;Kaluga
34;facilisis;Jeju
35;mauris;Gjoa Haven
36;egestas;Juazeiro do Norte
37;interdum;Gdynia
38;cursus,;Lutsk
39;purus;Suwa≈Çki
40;tristique;Veere
41;penatibus;Gia Nghƒ©a
42;sit;Tarsia
43;hendrerit;Gij√≥n
44;risus;Ulsan
45;suscipit;Wellingborough
46;ullamcorper;Dublin
47;varius.;Okpoko
48;sodales.;Hebei
49;diam.;Besan√ßon
50;parturient;Johannesburg
